id,incident_type,severity,source,status,latitude,longitude,title,description,district,city,address,women_safety_category,women_safety_weight,women_safety_tier,incident_date,confidence_score
100025,ASSAULT,CRITICAL,NEWS,VERIFIED,12.7200,77.2800,Sexual assault in Ramanagara,Woman assaulted in Ramanagara industrial area during night shift. Company security failed to respond.,Ramanagara,Ramanagara,Ramanagara Industrial Area,Rape,99.0,1,2026-04-20,0.90
100026,HARASSMENT,HIGH,NEWS,VERIFIED,16.2100,77.3600,Molestation in Raichur,College student molested on Raichur public bus. Driver helped detain suspect until police arrived.,Raichur,Raichur,Raichur Bus Stand,Molestation,75.0,2,2026-04-22,0.78
100027,DOMESTIC_VIOLENCE,HIGH,NEWS,VERIFIED,13.0100,76.0900,Domestic violence in Hassan,Woman filed domestic violence complaint against husband and in-laws in Hassan.,Hassan,Hassan,Hassan City,Domestic Violence,70.0,2,2026-04-25,0.84
100028,ASSAULT,CRITICAL,NEWS,VERIFIED,15.3400,76.4600,Assault in Vijayanagara,Woman assaulted near World Heritage site area in Hampi. Tourism police launched investigation.,Vijayanagara,Hospet,Hampi,Rape,99.0,1,2026-04-28,0.76
100029,STALKING,MEDIUM,NEWS,VERIFIED,13.3200,75.7700,Stalking in Chikkamagaluru,Woman stalked near coffee plantation area in Chikkamagaluru. Plantation workers alerted authorities.,Chikkamagaluru,Chikkamagaluru,Chikkamagaluru Coffee Estates,Stalking,70.0,2,2026-05-01,0.71
100030,DOMESTIC_VIOLENCE,HIGH,NEWS,VERIFIED,17.9100,77.5300,Domestic violence in Bidar,Woman filed domestic violence complaint after husband's repeated abuse in Bidar.,Bidar,Bidar,Bidar City,Domestic Violence,70.0,2,2026-05-03,0.82
100031,ASSAULT,CRITICAL,NEWS,VERIFIED,14.2300,76.4000,Sexual assault in Chitradurga,Woman assaulted in Chitradurga fort area. Quick police response led to arrest of suspect.,Chitradurga,Chitradurga,Chitradurga Fort,Rape,99.0,1,2026-05-05,0.87
100032,HARASSMENT,HIGH,NEWS,VERIFIED,12.5200,76.9000,Harassment in Mandya,Woman harassed by group near Mandya bus stand. Public support helped identify perpetrators.,Mandya,Mandya,Mandya Bus Stand,Molestation,75.0,2,2026-05-08,0.75
100033,DOMESTIC_VIOLENCE,HIGH,NEWS,VERIFIED,13.1400,78.1300,Domestic violence in Kolar,Woman filed DV case after violence in Kolar Gold Fields residential area.,Kolar,Kolar,Kolar Gold Fields,Domestic Violence,70.0,2,2026-05-10,0.80
100034,STALKING,MEDIUM,NEWS,VERIFIED,15.3500,76.1500,Stalking case in Koppal,Woman reported being followed repeatedly near Koppal bus station.,Koppal,Koppal,Koppal Bus Station,Stalking,70.0,2,2026-05-12,0.67
100035,ASSAULT,HIGH,NEWS,VERIFIED,15.4200,75.6200,Woman attacked in Gadag,Woman attacked by known assailant in Gadag market area. Community members subdued the attacker.,Gadag,Gadag,Gadag Market,Assault,75.0,2,2026-05-15,0.73
100036,DOMESTIC_VIOLENCE,HIGH,NEWS,VERIFIED,14.8000,75.4000,Domestic violence in Haveri,Woman filed complaint after severe domestic violence incident in Haveri town.,Haveri,Haveri,Haveri Town,Domestic Violence,70.0,2,2026-05-18,0.81
100037,ASSAULT,CRITICAL,NEWS,VERIFIED,16.1800,75.7000,Sexual assault in Bagalkote,Woman sexually assaulted near Bagalkote riverfront area. Medical evidence collected for prosecution.,Bagalkote,Bagalkote,Bagalkote Riverfront,Rape,99.0,1,2026-05-20,0.89
100038,HARASSMENT,HIGH,NEWS,VERIFIED,16.7700,77.1300,Molestation in Yadgir,Minor girl molested in Yadgir village school. Teacher reported incident leading to swift arrest.,Yadgir,Yadgir,Yadgir Rural,Molestation,75.0,2,2026-05-22,0.92
100039,DOMESTIC_VIOLENCE,HIGH,NEWS,VERIFIED,14.8100,74.1300,Domestic violence in Uttara Kannada,Woman filed domestic violence complaint in Karwar. Coastal police registered the case.,Uttara Kannada,Karwar,Karwar Town,Domestic Violence,70.0,2,2026-05-25,0.79
100040,ASSAULT,CRITICAL,NEWS,VERIFIED,12.9100,74.8500,Sexual assault near Mangaluru beach,Woman assaulted near Mangaluru Panambur beach. Night patrol increased after incident.,Dakshina Kannada,Mangaluru,Panambur Beach,Rape,99.0,1,2026-05-28,0.86
100041,HARASSMENT,MEDIUM,NEWS,VERIFIED,12.3100,76.6500,Workplace harassment in Mysuru SEZ,Woman filed workplace harassment complaint in Mysuru Special Economic Zone.,Mysuru,Mysuru,Mysuru SEZ,Molestation,75.0,2,2026-06-01,0.68
100042,STALKING,HIGH,NEWS,VERIFIED,12.9600,77.5400,Woman stalked in Basaveshwaranagar,Woman reported stalker near Basaveshwaranagar park. Local residents formed neighborhood watch.,Bengaluru Urban,Bengaluru,Basaveshwaranagar,Stalking,70.0,2,2026-06-03,0.79
100043,DOMESTIC_VIOLENCE,CRITICAL,NEWS,VERIFIED,12.8900,77.5100,Domestic violence with acid threat in Yeshwanthpur,Woman reported husband threatening with acid in Yeshwanthpur. Police invoked IPC 326B.,Bengaluru Urban,Bengaluru,Yeshwanthpur,Acid Attack,99.0,1,2026-06-05,0.91
100044,ASSAULT,HIGH,NEWS,VERIFIED,15.3600,75.1300,Assault in Hubli market,Woman assaulted in Hubli market area while shopping. CCTV footage assisted investigation.,Dharwad,Hubli,Hubli Market,Assault,75.0,2,2026-06-08,0.74
100045,HARASSMENT,HIGH,NEWS,VERIFIED,15.8500,74.5000,Molestation in Belagavi bus,Woman molested on Belagavi city bus. Driver drove directly to police station.,Belagavi,Belagavi,Belagavi Bus Stand,Molestation,75.0,2,2026-06-10,0.82
100046,STALKING,MEDIUM,NEWS,VERIFIED,13.3400,77.1200,Stalking in Tumakuru,Woman reported stalker near Tumakuru university campus. Campus security increased.,Tumakuru,Tumakuru,Tumakuru University,Stalking,70.0,2,2026-06-12,0.70
100047,DOMESTIC_VIOLENCE,HIGH,NEWS,VERIFIED,12.4200,75.7300,Domestic violence in Kodagu,Woman filed complaint in Madikeri after repeated domestic violence incidents in coffee estate.,Kodagu,Madikeri,Kodagu Coffee Estate,Domestic Violence,70.0,2,2026-06-15,0.77
100048,ASSAULT,CRITICAL,NEWS,VERIFIED,13.0100,77.5700,Sexual assault near Majestic bus stand,Woman sexually assaulted near Kempegowda Bus Station (Majestic) during late hours. Police launched special operation.,Bengaluru Urban,Bengaluru,Majestic,Rape,99.0,1,2026-06-18,0.83
100049,HARASSMENT,MEDIUM,NEWS,VERIFIED,12.9100,74.8300,Harassment at Mangaluru auto stand,Woman harassed at Mangaluru auto rickshaw stand. Auto union cooperated with police investigation.,Dakshina Kannada,Mangaluru,Mangaluru Auto Stand,Molestation,75.0,2,2026-06-20,0.65
100050,DOMESTIC_VIOLENCE,HIGH,NEWS,VERIFIED,16.2100,77.3600,Domestic violence in Raichur,Woman filed domestic violence case in Raichur after years of abuse. NGO provided legal aid.,Raichur,Raichur,Raichur Town,Domestic Violence,70.0,2,2026-06-22,0.78
